marker	chr	pos	cM	bp
1_9964486	1	9.964486	2.48955432941694	9964486
1_9967902	1	9.967902	2.50955432941694	9967902
1_9971318	1	9.971318	2.52955432941694	9971318
1_10056588	1	10.056588	2.54955432941694	10056588
1_10126498	1	10.126498	2.56955432941694	10126498
1_10151610	1	10.15161	2.58955432941694	10151610
1_10176723	1	10.176723	2.60955432941694	10176723
1_10201836	1	10.201836	2.62955432941694	10201836
1_10226949	1	10.226949	2.64955432941694	10226949
1_10256995	1	10.256995	2.66955432941694	10256995
1_10620075	1	10.620075	2.68955432941694	10620075
1_10626018	1	10.626018	2.70955432941694	10626018
1_10631960	1	10.63196	2.72955432941694	10631960
1_10708706	1	10.708706	2.74955432941694	10708706
1_10748960	1	10.74896	2.76955432941694	10748960
1_10776238	1	10.776238	2.78955432941694	10776238
1_10803515	1	10.803515	2.80955432941694	10803515
1_10860067	1	10.860067	2.82955432941694	10860067
1_10933649	1	10.933649	2.84955432941694	10933649
1_11308001	1	11.308001	2.86955432941694	11308001
1_11380806	1	11.380806	2.88955432941694	11380806
1_11453611	1	11.453611	2.90955432941694	11453611
1_11520373	1	11.520373	2.92955432941694	11520373
1_11531187	1	11.531187	2.94955432941694	11531187
1_11539768	1	11.539768	2.96955432941694	11539768
1_11548349	1	11.548349	2.98955432941694	11548349
1_11572899	1	11.572899	3.00955432941694	11572899
1_11580650	1	11.58065	3.02955432941694	11580650
1_11588401	1	11.588401	3.04955432941694	11588401
1_11598344	1	11.598344	3.06955432941694	11598344
1_11770399	1	11.770399	3.08955432941694	11770399
1_11861950	1	11.86195	3.10955432941694	11861950
1_11902002	1	11.902002	3.12955432941694	11902002
1_11942055	1	11.942055	3.14955432941694	11942055
1_11982107	1	11.982107	3.16955432941694	11982107
1_12022159	1	12.022159	3.18955432941694	12022159
1_12062212	1	12.062212	3.20955432941694	12062212
1_12102264	1	12.102264	3.22955432941694	12102264
1_12134180	1	12.13418	3.24955432941694	12134180
1_12176121	1	12.176121	3.26955432941694	12176121
1_12240173	1	12.240173	3.28955432941694	12240173
1_12304225	1	12.304225	3.30955432941694	12304225
1_12368277	1	12.368277	3.32955432941694	12368277
1_12399434	1	12.399434	3.34955432941694	12399434
1_12400929	1	12.400929	3.36955432941694	12400929
1_12402424	1	12.402424	3.38955432941694	12402424
1_12449077	1	12.449077	3.40955432941694	12449077
1_12621132	1	12.621132	3.42955432941694	12621132
1_12732461	1	12.732461	3.44955432941694	12732461
1_12739162	1	12.739162	3.46955432941694	12739162
1_12745863	1	12.745863	3.48955432941694	12745863
1_12790802	1	12.790802	3.50955432941694	12790802
1_12814775	1	12.814775	3.52955432941694	12814775
1_12827873	1	12.827873	3.54955432941694	12827873
1_12835048	1	12.835048	3.56955432941694	12835048
1_12839190	1	12.83919	3.58955432941694	12839190
1_12843331	1	12.843331	3.60955432941694	12843331
1_12847473	1	12.847473	3.62955432941694	12847473
1_12851614	1	12.851614	3.64955432941694	12851614
1_12855756	1	12.855756	3.66955432941694	12855756
1_12859898	1	12.859898	3.68955432941694	12859898
1_12864039	1	12.864039	3.70955432941694	12864039
1_12867853	1	12.867853	3.72955432941694	12867853
1_12870727	1	12.870727	3.74955432941694	12870727
1_12873601	1	12.873601	3.76955432941694	12873601
1_12876474	1	12.876474	3.78955432941694	12876474
1_12879348	1	12.879348	3.80955432941694	12879348
1_12882222	1	12.882222	3.82955432941694	12882222
1_12885096	1	12.885096	3.84955432941694	12885096
1_12887970	1	12.88797	3.86955432941694	12887970
1_12891559	1	12.891559	3.88955432941694	12891559
1_12895401	1	12.895401	3.90955432941694	12895401
1_12908849	1	12.908849	3.92955432941694	12908849
1_12988613	1	12.988613	3.94955432941694	12988613
1_13275729	1	13.275729	3.96955432941694	13275729
1_13329064	1	13.329064	3.98955432941694	13329064
1_13382398	1	13.382398	4.00955432941694	13382398
1_13435733	1	13.435733	4.02955432941694	13435733
1_13859866	1	13.859866	4.04955432941694	13859866
1_13860794	1	13.860794	4.06955432941694	13860794
1_13861721	1	13.861721	4.08955432941694	13861721
1_13879951	1	13.879951	4.10955432941694	13879951
1_14231944	1	14.231944	4.12955432941694	14231944
1_14240672	1	14.240672	4.14955432941694	14240672
1_14249401	1	14.249401	4.16955432941694	14249401
1_14258129	1	14.258129	4.18955432941694	14258129
1_14261807	1	14.261807	4.20955432941694	14261807
1_14263147	1	14.263147	4.22955432941694	14263147
1_14264487	1	14.264487	4.24955432941694	14264487
1_14445056	1	14.445056	4.26955432941694	14445056
1_14461962	1	14.461962	4.28955432941694	14461962
1_14463818	1	14.463818	4.30955432941694	14463818
1_14465674	1	14.465674	4.32955432941694	14465674
1_14467530	1	14.46753	4.34955432941694	14467530
1_14469386	1	14.469386	4.36955432941694	14469386
1_14471242	1	14.471242	4.38955432941694	14471242
1_14582706	1	14.582706	4.40955432941694	14582706
1_14625774	1	14.625774	4.42955432941694	14625774
1_14668843	1	14.668843	4.44955432941694	14668843
1_14688345	1	14.688345	4.46955432941694	14688345
1_14703529	1	14.703529	4.48955432941694	14703529
1_14718713	1	14.718713	4.50955432941694	14718713
1_14733897	1	14.733897	4.52955432941694	14733897
1_14752005	1	14.752005	4.54955432941694	14752005
1_14769772	1	14.769772	4.56955432941694	14769772
1_14787539	1	14.787539	4.58955432941694	14787539
1_14805306	1	14.805306	4.60955432941694	14805306
1_14842431	1	14.842431	4.62955432941694	14842431
1_14915717	1	14.915717	4.64955432941694	14915717
1_14989002	1	14.989002	4.66955432941694	14989002
1_15000175	1	15.000175	4.68955432941694	15000175
1_15005483	1	15.005483	4.70955432941694	15005483
1_15010790	1	15.01079	4.72955432941694	15010790
1_15061272	1	15.061272	4.74955432941694	15061272
1_15104654	1	15.104654	4.76955432941694	15104654
1_15105039	1	15.105039	4.78955432941694	15105039
1_15105424	1	15.105424	4.80955432941694	15105424
1_15133541	1	15.133541	4.82955432941694	15133541
1_15206827	1	15.206827	4.84955432941694	15206827
1_15280112	1	15.280112	4.86955432941694	15280112
1_15353398	1	15.353398	4.88955432941694	15353398
1_15426683	1	15.426683	4.90955432941694	15426683
1_15565196	1	15.565196	4.92955432941694	15565196
1_15570146	1	15.570146	4.94955432941694	15570146
1_15574680	1	15.57468	4.96955432941694	15574680
1_15579215	1	15.579215	4.98955432941694	15579215
1_15583749	1	15.583749	5.00955432941694	15583749
1_15588283	1	15.588283	5.02955432941694	15588283
1_15594241	1	15.594241	5.04955432941694	15594241
1_15815399	1	15.815399	5.06955432941694	15815399
1_15875153	1	15.875153	5.08955432941694	15875153
1_15934907	1	15.934907	5.10955432941694	15934907
1_15949282	1	15.949282	5.12955432941694	15949282
1_15959923	1	15.959923	5.14955432941694	15959923
1_15970564	1	15.970564	5.16955432941694	15970564
1_15981204	1	15.981204	5.18955432941694	15981204
1_16008183	1	16.008183	5.20955432941694	16008183
1_16055165	1	16.055165	5.22955432941694	16055165
1_16071308	1	16.071308	5.24955432941694	16071308
1_16087451	1	16.087451	5.26955432941694	16087451
1_16103594	1	16.103594	5.28955432941694	16103594
1_16119737	1	16.119737	5.30955432941694	16119737
1_16202701	1	16.202701	5.32955432941694	16202701
1_16219251	1	16.219251	5.34955432941694	16219251
1_16235800	1	16.2358	5.36955432941694	16235800
1_16605988	1	16.605988	5.38955432941694	16605988
1_16618525	1	16.618525	5.40955432941694	16618525
1_16631062	1	16.631062	5.42955432941694	16631062
1_16970870	1	16.97087	5.44955432941694	16970870
1_17276722	1	17.2767225	5.45955432941694	17276722
1_17582575	1	17.582575	5.46955432941694	17582575
1_17599037	1	17.599037	5.48955432941694	17599037
1_17615500	1	17.6155	5.50955432941694	17615500
1_18001823	1	18.001823	5.52955432941694	18001823
1_18015666	1	18.015666	5.54955432941694	18015666
1_18029509	1	18.029509	5.56955432941694	18029509
1_18130008	1	18.130008	5.58955432941694	18130008
1_18155233	1	18.155233	5.60955432941694	18155233
1_18180457	1	18.180457	5.62955432941694	18180457
1_18491326	1	18.491326	5.64955432941694	18491326
1_18495724	1	18.495724	5.66955432941694	18495724
1_18500121	1	18.500121	5.68955432941694	18500121
1_18770593	1	18.770593	5.70955432941694	18770593
1_18775491	1	18.775491	5.72955432941694	18775491
1_18780389	1	18.780389	5.74955432941694	18780389
1_18785287	1	18.785287	5.76955432941694	18785287
1_18790185	1	18.790185	5.78955432941694	18790185
1_18797518	1	18.797518	5.80955432941694	18797518
1_19164986	1	19.164986	5.82955432941694	19164986
1_19209401	1	19.209401	5.84955432941694	19209401
1_19253815	1	19.253815	5.86955432941694	19253815
1_19298230	1	19.29823	5.88955432941694	19298230
1_19371181	1	19.371181	5.90955432941694	19371181
1_19486375	1	19.486375	5.92955432941694	19486375
1_19518914	1	19.518914	5.94955432941694	19518914
1_19551452	1	19.551452	5.96955432941694	19551452
1_19589201	1	19.589201	5.98955432941694	19589201
1_19922091	1	19.922091	6.00955432941694	19922091
1_19940470	1	19.94047	6.02955432941694	19940470
1_19958850	1	19.95885	6.04955432941694	19958850
1_20229036	1	20.229036	6.05955432941694	20229036
1_20499222	1	20.499222	6.06955432941694	20499222
1_20500136	1	20.500136	6.08955432941694	20500136
1_20501049	1	20.501049	6.10955432941694	20501049
1_20609816	1	20.609816	6.12955432941694	20609816
1_20747122	1	20.747122	6.14955432941694	20747122
1_20751018	1	20.751018	6.16955432941694	20751018
1_20754915	1	20.754915	6.18955432941694	20754915
1_20806204	1	20.806204	6.20955432941694	20806204
1_20987507	1	20.987507	6.22955432941694	20987507
1_21055901	1	21.055901	6.24955432941694	21055901
1_21124296	1	21.124296	6.26955432941694	21124296
1_21127272	1	21.127272	6.28955432941694	21127272
1_21127292	1	21.127292	6.30955432941694	21127292
1_21127313	1	21.127313	6.32955432941694	21127313
1_21191742	1	21.191742	6.34955432941694	21191742
1_21260137	1	21.260137	6.36955432941694	21260137
1_21398131	1	21.398131	6.38955432941694	21398131
1_21440554	1	21.440554	6.40955432941694	21440554
1_21467971	1	21.467971	6.42955432941694	21467971
1_21495388	1	21.495388	6.44955432941694	21495388
1_21594520	1	21.59452	6.46955432941694	21594520
1_21611879	1	21.611879	6.48955432941694	21611879
1_21615693	1	21.615693	6.50955432941694	21615693
1_21619507	1	21.619507	6.52955432941694	21619507
1_21623321	1	21.623321	6.54955432941694	21623321
1_21627135	1	21.627135	6.56955432941694	21627135
1_21630948	1	21.630948	6.58955432941694	21630948
1_21634762	1	21.634762	6.60955432941694	21634762
1_21640536	1	21.640536	6.62955432941694	21640536
1_21647107	1	21.647107	6.64955432941694	21647107
1_21718730	1	21.71873	6.66955432941694	21718730
1_21725620	1	21.72562	6.68955432941694	21725620
1_21732509	1	21.732509	6.70955432941694	21732509
1_21792271	1	21.792271	6.72955432941694	21792271
1_21792407	1	21.792407	6.74955432941694	21792407
1_21792542	1	21.792542	6.76955432941694	21792542
1_21792678	1	21.792678	6.78955432941694	21792678
1_21792813	1	21.792813	6.80955432941694	21792813
1_21792949	1	21.792949	6.82955432941694	21792949
1_22019824	1	22.019824	6.84955432941694	22019824
1_22037367	1	22.037367	6.86955432941694	22037367
1_22043027	1	22.043027	6.88955432941694	22043027
1_22048687	1	22.048687	6.90955432941694	22048687
1_22054347	1	22.054347	6.92955432941694	22054347
1_22060007	1	22.060007	6.94955432941694	22060007
1_22069064	1	22.069064	6.96955432941694	22069064
1_22076149	1	22.076149	6.98955432941694	22076149
1_22078881	1	22.078881	7.00955432941694	22078881
1_22081613	1	22.081613	7.02955432941694	22081613
1_22084345	1	22.084345	7.04955432941694	22084345
1_22087077	1	22.087077	7.06955432941694	22087077
1_22089809	1	22.089809	7.08955432941694	22089809
1_22092540	1	22.09254	7.10955432941694	22092540
1_22095272	1	22.095272	7.12955432941694	22095272
1_22098004	1	22.098004	7.14955432941694	22098004
1_22100736	1	22.100736	7.16955432941694	22100736
1_22103468	1	22.103468	7.18955432941694	22103468
1_22107732	1	22.107732	7.20955432941694	22107732
1_22120288	1	22.120288	7.22955432941694	22120288
1_22134064	1	22.134064	7.24955432941694	22134064
1_22147841	1	22.147841	7.26955432941694	22147841
1_22161617	1	22.161617	7.28955432941694	22161617
1_22196985	1	22.196985	7.30955432941694	22196985
1_22249757	1	22.249757	7.32955432941694	22249757
1_22302528	1	22.302528	7.34955432941694	22302528
1_22355300	1	22.3553	7.36955432941694	22355300
1_22435365	1	22.435365	7.38955432941694	22435365
1_22453471	1	22.453471	7.40955432941694	22453471
1_22471577	1	22.471577	7.42955432941694	22471577
1_22507341	1	22.507341	7.44955432941694	22507341
1_22520003	1	22.520003	7.46955432941694	22520003
1_22532664	1	22.532664	7.48955432941694	22532664
1_22558186	1	22.558186	7.50955432941694	22558186
1_22576531	1	22.576531	7.52955432941694	22576531
1_22577673	1	22.577673	7.54955432941694	22577673
1_22578815	1	22.578815	7.56955432941694	22578815
1_22626182	1	22.626182	7.58955432941694	22626182
1_22632308	1	22.632308	7.60955432941694	22632308
1_22638434	1	22.638434	7.62955432941694	22638434
1_22773974	1	22.773974	7.64955432941694	22773974
1_22830077	1	22.830077	7.66955432941694	22830077
1_22830121	1	22.830121	7.68955432941694	22830121
1_22830166	1	22.830166	7.70955432941694	22830166
1_22874710	1	22.87471	7.72955432941694	22874710
1_22939622	1	22.939622	7.74955432941694	22939622
1_22963733	1	22.963733	7.76955432941694	22963733
1_22985774	1	22.985774	7.78955432941694	22985774
1_23007815	1	23.007815	7.80955432941694	23007815
1_23029856	1	23.029856	7.82955432941694	23029856
1_23044601	1	23.044601	7.84955432941694	23044601
1_23047856	1	23.047856	7.86955432941694	23047856
1_23051111	1	23.051111	7.88955432941694	23051111
1_23054366	1	23.054366	7.90955432941694	23054366
1_23057620	1	23.05762	7.92955432941694	23057620
1_23060875	1	23.060875	7.94955432941694	23060875
1_23066746	1	23.066746	7.96955432941694	23066746
1_23131658	1	23.131658	7.98955432941694	23131658
1_23204497	1	23.204497	8.00955432941694	23204497
1_23341424	1	23.341424	8.02955432941694	23341424
1_23388518	1	23.388518	8.04955432941694	23388518
1_23435612	1	23.435612	8.06955432941694	23435612
1_23477978	1	23.477978	8.08955432941694	23477978
1_23484108	1	23.484108	8.10955432941694	23484108
1_23490238	1	23.490238	8.12955432941694	23490238
1_23496368	1	23.496368	8.14955432941694	23496368
1_23512307	1	23.512307	8.16955432941694	23512307
1_23515191	1	23.515191	8.18955432941694	23515191
1_23518075	1	23.518075	8.20955432941694	23518075
1_23520959	1	23.520959	8.22955432941694	23520959
1_23523843	1	23.523843	8.24955432941694	23523843
1_23526727	1	23.526727	8.26955432941694	23526727
1_23529611	1	23.529611	8.28955432941694	23529611
1_23532495	1	23.532495	8.30955432941694	23532495
1_23535379	1	23.535379	8.32955432941694	23535379
1_23538263	1	23.538263	8.34955432941694	23538263
1_23544138	1	23.544138	8.36955432941694	23544138
1_23551760	1	23.55176	8.38955432941694	23551760
1_23560149	1	23.560149	8.40955432941694	23560149
1_23568539	1	23.568539	8.42955432941694	23568539
1_23576929	1	23.576929	8.44955432941694	23576929
1_23594961	1	23.594961	8.46955432941694	23594961
1_23625142	1	23.625142	8.48955432941694	23625142
1_23703849	1	23.703849	8.50955432941694	23703849
1_23708672	1	23.708672	8.52955432941694	23708672
1_23713495	1	23.713495	8.54955432941694	23713495
1_23733177	1	23.733177	8.56955432941694	23733177
1_23741822	1	23.741822	8.58955432941694	23741822
1_23750467	1	23.750467	8.60955432941694	23750467
1_23759111	1	23.759111	8.62955432941694	23759111
1_23969186	1	23.969186	8.64955432941694	23969186
1_24116007	1	24.116007	8.66955432941694	24116007
1_24257597	1	24.257597	8.68955432941694	24257597
1_24357696	1	24.357696	8.70955432941694	24357696
1_24361381	1	24.361381	8.72955432941694	24361381
1_24365065	1	24.365065	8.74955432941694	24365065
1_24368750	1	24.36875	8.76955432941694	24368750
1_24372434	1	24.372434	8.78955432941694	24372434
1_24376119	1	24.376119	8.80955432941694	24376119
1_24395261	1	24.395261	8.82955432941694	24395261
1_24524917	1	24.524917	8.84955432941694	24524917
1_24533459	1	24.533459	8.86955432941694	24533459
1_24542002	1	24.542002	8.88955432941694	24542002
1_24550544	1	24.550544	8.90955432941694	24550544
1_24667031	1	24.667031	8.92955432941694	24667031
1_24797914	1	24.797914	8.94955432941694	24797914
1_24928798	1	24.928798	8.96955432941694	24928798
1_25059681	1	25.059681	8.98955432941694	25059681
1_25227780	1	25.22778	9.00955432941694	25227780
1_25233567	1	25.233567	9.02955432941694	25233567
1_25239354	1	25.239354	9.04955432941694	25239354
1_25245140	1	25.24514	9.06955432941694	25245140
1_25250927	1	25.250927	9.08955432941694	25250927
1_25256713	1	25.256713	9.10955432941694	25256713
1_25262500	1	25.2625	9.12955432941694	25262500
1_25359036	1	25.359036	9.14955432941694	25359036
1_25374719	1	25.374719	9.16955432941694	25374719
1_25387711	1	25.387711	9.18955432941694	25387711
1_25404202	1	25.404202	9.20955432941694	25404202
1_25409657	1	25.409657	9.22955432941694	25409657
1_25415113	1	25.415113	9.24955432941694	25415113
1_25420568	1	25.420568	9.26955432941694	25420568
1_25437647	1	25.437647	9.28955432941694	25437647
1_25449967	1	25.449967	9.30955432941694	25449967
1_25462286	1	25.462286	9.32955432941694	25462286
1_25475535	1	25.475535	9.34955432941694	25475535
1_25512352	1	25.512352	9.36955432941694	25512352
1_25515401	1	25.515401	9.38955432941694	25515401
1_25518449	1	25.518449	9.40955432941694	25518449
1_25521498	1	25.521498	9.42955432941694	25521498
1_25524547	1	25.524547	9.44955432941694	25524547
1_25527596	1	25.527596	9.46955432941694	25527596
1_25531365	1	25.531365	9.48955432941694	25531365
1_25561243	1	25.561243	9.50955432941694	25561243
1_25605121	1	25.605121	9.52955432941694	25605121
1_25648999	1	25.648999	9.54955432941694	25648999
1_25802418	1	25.802418	9.56955432941694	25802418
1_25804625	1	25.804625	9.58955432941694	25804625
1_25806832	1	25.806832	9.60955432941694	25806832
1_26061594	1	26.061594	9.62955432941694	26061594
1_26367304	1	26.367304	9.64955432941694	26367304
1_26379019	1	26.379019	9.66955432941694	26379019
1_26384315	1	26.384315	9.68955432941694	26384315
1_26386977	1	26.386977	9.70955432941694	26386977
1_26389639	1	26.389639	9.72955432941694	26389639
1_26392301	1	26.392301	9.74955432941694	26392301
1_26667627	1	26.667627	9.75955432941694	26667627
1_26942953	1	26.942953	9.76955432941694	26942953
1_27396200	1	27.3961995	9.77955432941694	27396200
1_27849446	1	27.849446	9.78955432941694	27849446
1_28135529	1	28.135529	9.79955432941694	28135529
1_28421612	1	28.421612	9.80955432941694	28421612
1_28612154	1	28.612154	9.82955432941694	28612154
1_28802696	1	28.802696	9.84955432941694	28802696
1_28993237	1	28.993237	9.86955432941694	28993237
1_29018488	1	29.018488	9.88955432941694	29018488
1_29022765	1	29.022765	9.90955432941694	29022765
1_29027042	1	29.027042	9.92955432941694	29027042
1_29332170	1	29.33217	9.93955432941694	29332170
1_29637298	1	29.637298	9.94955432941694	29637298
1_29747973	1	29.747973	9.96955432941694	29747973
1_29770026	1	29.770026	9.98955432941694	29770026
1_29792078	1	29.792078	10.0095543294169	29792078
1_29968068	1	29.968068	10.0295543294169	29968068
1_29975188	1	29.975188	10.0495543294169	29975188
1_29982309	1	29.982309	10.0695543294169	29982309
1_30452497	1	30.452497	10.0895543294169	30452497
1_30473768	1	30.473768	10.1095543294169	30473768
1_30483809	1	30.483809	10.1295543294169	30483809
1_30492221	1	30.492221	10.1495543294169	30492221
1_30500633	1	30.500633	10.1695543294169	30500633
1_30509045	1	30.509045	10.1895543294169	30509045
1_30517054	1	30.517054	10.2095543294169	30517054
1_30522953	1	30.522953	10.2295543294169	30522953
1_30528851	1	30.528851	10.2495543294169	30528851
1_30534750	1	30.53475	10.2695543294169	30534750
1_30540649	1	30.540649	10.2895543294169	30540649
1_30546547	1	30.546547	10.3095543294169	30546547
1_30552446	1	30.552446	10.3295543294169	30552446
1_30558345	1	30.558345	10.3495543294169	30558345
1_30564244	1	30.564244	10.3695543294169	30564244
1_30570142	1	30.570142	10.3895543294169	30570142
1_30576041	1	30.576041	10.4095543294169	30576041
1_30581940	1	30.58194	10.4295543294169	30581940
1_30587838	1	30.587838	10.4495543294169	30587838
1_30593737	1	30.593737	10.4695543294169	30593737
1_30599636	1	30.599636	10.4895543294169	30599636
1_30605534	1	30.605534	10.5095543294169	30605534
1_30611433	1	30.611433	10.5295543294169	30611433
1_30617332	1	30.617332	10.5495543294169	30617332
1_30623231	1	30.623231	10.5695543294169	30623231
1_30629129	1	30.629129	10.5895543294169	30629129
1_30635028	1	30.635028	10.6095543294169	30635028
1_30872790	1	30.87279	10.6295543294169	30872790
1_30889664	1	30.889664	10.6495543294169	30889664
1_30906538	1	30.906538	10.6695543294169	30906538
1_30991664	1	30.991664	10.6895543294169	30991664
1_31062902	1	31.062902	10.7095543294169	31062902
1_31066968	1	31.066968	10.7295543294169	31066968
1_31071034	1	31.071034	10.7495543294169	31071034
1_31213531	1	31.213531	10.7695543294169	31213531
1_31326175	1	31.326175	10.7895543294169	31326175
1_31369445	1	31.369445	10.8095543294169	31369445
1_31402942	1	31.402942	10.8295543294169	31402942
1_31406154	1	31.406154	10.8495543294169	31406154
1_31409367	1	31.409367	10.8695543294169	31409367
1_31412579	1	31.412579	10.8895543294169	31412579
1_31415791	1	31.415791	10.9095543294169	31415791
1_31419004	1	31.419004	10.9295543294169	31419004
1_31422216	1	31.422216	10.9495543294169	31422216
1_31454784	1	31.454784	10.9695543294169	31454784
1_31498054	1	31.498054	10.9895543294169	31498054
1_31656822	1	31.656822	11.0095543294169	31656822
1_31659004	1	31.659004	11.0295543294169	31659004
1_31661186	1	31.661186	11.0495543294169	31661186
1_31663368	1	31.663368	11.0695543294169	31663368
1_31665550	1	31.66555	11.0895543294169	31665550
1_31667732	1	31.667732	11.1095543294169	31667732
1_31978271	1	31.978271	11.1295543294169	31978271
1_32011725	1	32.011725	11.1495543294169	32011725
1_32045178	1	32.045178	11.1695543294169	32045178
1_32242633	1	32.242633	11.1895543294169	32242633
1_32254711	1	32.254711	11.2095543294169	32254711
1_32266789	1	32.266789	11.2295543294169	32266789
1_32311461	1	32.311461	11.2495543294169	32311461
1_32313661	1	32.313661	11.2695543294169	32313661
1_32315860	1	32.31586	11.2895543294169	32315860
1_32349507	1	32.349507	11.3095543294169	32349507
1_32358170	1	32.35817	11.3295543294169	32358170
1_32366832	1	32.366832	11.3495543294169	32366832
1_32375495	1	32.375495	11.3695543294169	32375495
1_32384157	1	32.384157	11.3895543294169	32384157
1_32392820	1	32.39282	11.4095543294169	32392820
1_32484539	1	32.484539	11.4295543294169	32484539
1_32577217	1	32.577217	11.4495543294169	32577217
1_32668502	1	32.668502	11.4695543294169	32668502
1_32857370	1	32.85737	11.4895543294169	32857370
1_32857508	1	32.857508	11.5095543294169	32857508
1_32857646	1	32.857646	11.5295543294169	32857646
1_32857785	1	32.857785	11.5495543294169	32857785
1_32857923	1	32.857923	11.5695543294169	32857923
1_32858061	1	32.858061	11.5895543294169	32858061
1_32864464	1	32.864464	11.6095543294169	32864464
1_32919727	1	32.919727	11.6295543294169	32919727
1_32935506	1	32.935506	11.6495543294169	32935506
1_32936301	1	32.936301	11.6695543294169	32936301
1_32937097	1	32.937097	11.6895543294169	32937097
1_32937892	1	32.937892	11.7095543294169	32937892
1_32938688	1	32.938688	11.7295543294169	32938688
1_32939483	1	32.939483	11.7495543294169	32939483
1_32973458	1	32.973458	11.7695543294169	32973458
1_33028721	1	33.028721	11.7895543294169	33028721
1_33363250	1	33.3632505	11.7995543294169	33363250
1_33697780	1	33.69778	11.8095543294169	33697780
1_33701566	1	33.701566	11.8295543294169	33701566
1_33705352	1	33.705352	11.8495543294169	33705352
1_33709138	1	33.709138	11.8695543294169	33709138
1_33712924	1	33.712924	11.8895543294169	33712924
1_33716710	1	33.71671	11.9095543294169	33716710
1_33720496	1	33.720496	11.9295543294169	33720496
1_33724281	1	33.724281	11.9495543294169	33724281
1_33728067	1	33.728067	11.9695543294169	33728067
1_33749185	1	33.749185	11.9895543294169	33749185
1_33758498	1	33.758498	12.0095543294169	33758498
1_33764193	1	33.764193	12.0295543294169	33764193
1_33768241	1	33.768241	12.0495543294169	33768241
1_33772289	1	33.772289	12.0695543294169	33772289
1_33776337	1	33.776337	12.0895543294169	33776337
1_33798588	1	33.798588	12.1095543294169	33798588
1_33804996	1	33.804996	12.1295543294169	33804996
1_33811404	1	33.811404	12.1495543294169	33811404
1_33817812	1	33.817812	12.1695543294169	33817812
1_33894837	1	33.894837	12.1895543294169	33894837
1_33896976	1	33.896976	12.2095543294169	33896976
1_33899115	1	33.899115	12.2295543294169	33899115
1_33984044	1	33.984044	12.2495543294169	33984044
1_34004366	1	34.004366	12.2695543294169	34004366
1_34024688	1	34.024688	12.2895543294169	34024688
1_34175079	1	34.175079	12.3095543294169	34175079
1_34175727	1	34.175727	12.3295543294169	34175727
1_34176375	1	34.176375	12.3495543294169	34176375
